pubchem_cid,pubchem_inchi,pubchem_smiles,name,origin,pIC50
56672056.0,"InChI=1S/C29H31N5O3/c1-19-9-7-10-20(2)27(19)37-29-25(28(36)33-16-15-31-21(18-33)17-24(35)30-3)26-23(13-8-14-32-26)34(29)22-11-5-4-6-12-22/h4-14,21,31H,15-18H2,1-3H3,(H,30,35)",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNC(C5)CC(=O)NC,b2a4m,BMCL2011A,7.1549
52949546.0,"InChI=1S/C26H25N3OS/c1-19-9-5-8-14-23(19)31-26-24(25(30)28-17-15-27-16-18-28)21-12-6-7-13-22(21)29(26)20-10-3-2-4-11-20/h2-14,27H,15-18H2,1H3",CC1=CC=CC=C1SC2=C(C3=CC=CC=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b1i2f,BMCL2010,7.1487
56665265.0,"InChI=1S/C26H25FN4O3/c1-17-8-9-18(27)14-22(17)34-26-24(25(32)30-12-10-28-11-13-30)20-16-29-23(33-2)15-21(20)31(26)19-6-4-3-5-7-19/h3-9,14-16,28H,10-13H2,1-2H3",CC1=C(C=C(C=C1)F)OC2=C(C3=CN=C(C=C3N2C4=CC=CC=C4)OC)C(=O)N5CCNCC5,b3a6c,BMCL2011B,7.1367
44158794.0,"InChI=1S/C25H23FN4O2/c1-17-7-5-10-19(26)23(17)32-25-21(24(31)29-15-13-27-14-16-29)22-20(11-6-12-28-22)30(25)18-8-3-2-4-9-18/h2-12,27H,13-16H2,1H3",CC1=C(C(=CC=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3fr,BMCL2011A,7.1308
56665121.0,"InChI=1S/C28H30N4O3/c1-4-34-22-17-23-25(30-18-22)24(27(33)31-15-13-29-14-16-31)28(32(23)21-11-6-5-7-12-21)35-26-19(2)9-8-10-20(26)3/h5-12,17-18,29H,4,13-16H2,1-3H3",CCOC1=CC2=C(C(=C(N2C3=CC=CC=C3)OC4=C(C=CC=C4C)C)C(=O)N5CCNCC5)N=C1,b2a5e,BMCL2011A,7.0969
56658322.0,"InChI=1S/C26H32N4O3/c1-17-7-6-8-18(2)24(17)33-26-23(25(32)29-13-11-27-12-14-29)20-16-28-22(31)15-21(20)30(26)19-9-4-3-5-10-19/h6-8,15-16,19,27H,3-5,9-14H2,1-2H3,(H,28,31)",CC1=C(C(=CC=C1)C)OC2=C(C3=CNC(=O)C=C3N2C4CCCCC4)C(=O)N5CCNCC5,b3a6h,BMCL2011B,7.0969
76394163.0,"InChI=1S/C27H34N4O2/c1-18-9-7-10-19(2)25(18)33-27-23(26(32)30-16-15-28-20(3)17-30)24-22(13-8-14-29-24)31(27)21-11-5-4-6-12-21/h7-10,13-14,20-21,28H,4-6,11-12,15-17H2,1-3H3",CC1CN(CCN1)C(=O)C2=C(N(C3=C2N=CC=C3)C4CCCCC4)OC5=C(C=CC=C5C)C,b2a4b,BMCL2011A,7.0969
52942172.0,"InChI=1S/C27H25F2N3O/c1-18-19(7-5-11-22(18)28)17-24-25(27(33)31-15-13-30-14-16-31)21-10-6-12-23(29)26(21)32(24)20-8-3-2-4-9-20/h2-12,30H,13-17H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C(=CC=C3)F)C(=O)N5CCNCC5,b1i5l,BMCL2010,7.0757
56675580.0,"InChI=1S/C26H25FN4O/c1-18-19(7-5-11-22(18)27)17-23-24(26(32)30-15-13-28-14-16-30)21-10-6-12-29-25(21)31(23)20-8-3-2-4-9-20/h2-12,28H,13-17H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)N=CC=C3)C(=O)N5CCNCC5,b3a3i,BMCL2011B,7.0655
56658321.0,"InChI=1S/C26H25FN4O2/c1-17-18(6-5-9-21(17)27)14-23-25(26(33)30-12-10-28-11-13-30)20-16-29-24(32)15-22(20)31(23)19-7-3-2-4-8-19/h2-9,15-16,28H,10-14H2,1H3,(H,29,32)",CC1=C(C=CC=C1F)CC2=C(C3=CNC(=O)C=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b3a6f,BMCL2011B,7.0555
56672194.0,"InChI=1S/C28H29FN4O/c1-3-20-12-13-31-27-25(20)26(28(34)32-16-14-30-15-17-32)24(33(27)22-9-5-4-6-10-22)18-21-8-7-11-23(29)19(21)2/h4-13,30H,3,14-18H2,1-2H3",CCC1=C2C(=C(N(C2=NC=C1)C3=CC=CC=C3)CC4=C(C(=CC=C4)F)C)C(=O)N5CCNCC5,b3a4g,BMCL2011B,7.0506
46912134.0,"InChI=1S/C26H25N3O/c30-26(28-17-15-27-16-18-28)25-22-13-7-8-14-23(22)29(21-11-5-2-6-12-21)24(25)19-20-9-3-1-4-10-20/h1-14,27H,15-19H2",C1CN(CCN1)C(=O)C2=C(N(C3=CC=CC=C32)C4=CC=CC=C4)CC5=CC=CC=C5,b1a2m,BMCL2010,7.0410
56658319.0,"InChI=1S/C25H24N4O2/c1-18-8-5-6-12-21(18)31-25-22(24(30)28-16-14-26-15-17-28)20-11-7-13-27-23(20)29(25)19-9-3-2-4-10-19/h2-13,26H,14-17H2,1H3",CC1=CC=CC=C1OC2=C(C3=C(N2C4=CC=CC=C4)N=CC=C3)C(=O)N5CCNCC5,b3a3b,BMCL2011B,7.0088
56658187.0,"InChI=1S/C26H31FN4O3/c1-16-8-9-20(27)17(2)24(16)34-26-23(25(33)30-12-10-28-11-13-30)19-15-29-22(32)14-21(19)31(26)18-6-4-3-5-7-18/h8-9,14-15,18,28H,3-7,10-13H2,1-2H3,(H,29,32)",CC1=C(C(=C(C=C1)F)C)OC2=C(C3=CNC(=O)C=C3N2C4CCCCC4)C(=O)N5CCNCC5,b3a6i,BMCL2011B,7.0088
56665266.0,"InChI=1S/C27H34N4O3/c1-18-8-7-9-19(2)25(18)34-27-24(26(32)30-14-12-28-13-15-30)21-17-29-23(33-3)16-22(21)31(27)20-10-5-4-6-11-20/h7-9,16-17,20,28H,4-6,10-15H2,1-3H3",CC1=C(C(=CC=C1)C)OC2=C(C3=CN=C(C=C3N2C4CCCCC4)OC)C(=O)N5CCNCC5,b3a6g,BMCL2011B,7.0044
44158909.0,"InChI=1S/C25H22ClFN4O/c26-20-7-4-8-21(27)18(20)15-23-24(25(32)30-13-11-28-12-14-30)19-16-29-10-9-22(19)31(23)17-5-2-1-3-6-17/h1-10,16,28H,11-15H2",C1CN(CCN1)C(=O)C2=C(N(C3=C2C=NC=C3)C4=CC=CC=C4)CC5=C(C=CC=C5Cl)F,b3a5h,BMCL2011B,7.0000
56665114.0,"InChI=1S/C25H22F2N4O2/c1-16-19(27)14-17(26)15-21(16)33-25-22(24(32)30-12-10-28-11-13-30)23-20(8-5-9-29-23)31(25)18-6-3-2-4-7-18/h2-9,14-15,28H,10-13H2,1H3",CC1=C(C=C(C=C1F)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3kr,BMCL2011A,6.9706
56661692.0,"InChI=1S/C28H28N4O5/c1-18-7-6-8-19(2)26(18)37-28-24(27(35)31-13-11-29-12-14-31)25-22(32(28)20-9-4-3-5-10-20)15-21(16-30-25)36-17-23(33)34/h3-10,15-16,29H,11-14,17H2,1-2H3,(H,33,34)",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=N3)OCC(=O)O)C(=O)N5CCNCC5,b2a5f,BMCL2011A,6.9586
56675215.0,"InChI=1S/C26H26N4O2/c1-18-7-6-8-19(2)24(18)32-26-23(25(31)29-15-13-27-14-16-29)21-11-12-28-17-22(21)30(26)20-9-4-3-5-10-20/h3-12,17,27H,13-16H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=NC=C3)C(=O)N5CCNCC5,b2a6c,BMCL2011A,6.9508
56668719.0,"InChI=1S/C26H31FN4O2/c1-17-18(6-5-9-21(17)27)14-23-25(26(33)30-12-10-28-11-13-30)20-16-29-24(32)15-22(20)31(23)19-7-3-2-4-8-19/h5-6,9,15-16,19,28H,2-4,7-8,10-14H2,1H3,(H,29,32)",CC1=C(C=CC=C1F)CC2=C(C3=CNC(=O)C=C3N2C4CCCCC4)C(=O)N5CCNCC5,b3a6e,BMCL2011B,6.9355
44158683.0,"InChI=1S/C26H26N4O/c1-19-8-5-6-9-20(19)18-23-24(26(31)29-16-14-27-15-17-29)25-22(12-7-13-28-25)30(23)21-10-3-2-4-11-21/h2-13,27H,14-18H2,1H3",CC1=CC=CC=C1CC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3q,BMCL2011A,6.9208
52941025.0,"InChI=1S/C27H24FN3O4/c1-17-7-9-19(28)16-23(17)35-26-24(25(32)30-13-11-29-12-14-30)21-10-8-18(27(33)34)15-22(21)31(26)20-5-3-2-4-6-20/h2-10,15-16,29H,11-14H2,1H3,(H,33,34)",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)C(=O)O)C(=O)N5CCNCC5,b1i5e,BMCL2010,6.9136
44158906.0,"InChI=1S/C25H23FN4O2/c1-17-7-8-18(26)15-22(17)32-25-23(24(31)29-13-11-27-12-14-29)20-16-28-10-9-21(20)30(25)19-5-3-2-4-6-19/h2-10,15-16,27H,11-14H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CN=C3)C(=O)N5CCNCC5,b3a5b,BMCL2011B,6.9101
52944034.0,"InChI=1S/C28H26FN3O5/c1-18-7-8-19(29)15-24(18)37-28-26(27(35)31-13-11-30-12-14-31)22-10-9-21(36-17-25(33)34)16-23(22)32(28)20-5-3-2-4-6-20/h2-10,15-16,30H,11-14,17H2,1H3,(H,33,34)",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)OCC(=O)O)C(=O)N5CCNCC5,b1i5g,BMCL2010,6.8861
76390519.0,"InChI=1S/C27H28N4O3/c1-18-8-6-9-19(2)25(18)34-27-23(26(33)30-15-14-28-20(16-30)17-32)24-22(12-7-13-29-24)31(27)21-10-4-3-5-11-21/h3-13,20,28,32H,14-17H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNC(C5)CO,b2a4e,BMCL2011A,6.8447
56665264.0,"InChI=1S/C27H33FN4O2/c1-18-19(7-6-10-22(18)28)15-24-26(27(33)31-13-11-29-12-14-31)21-17-30-25(34-2)16-23(21)32(24)20-8-4-3-5-9-20/h6-7,10,16-17,20,29H,3-5,8-9,11-15H2,1-2H3",CC1=C(C=CC=C1F)CC2=C(C3=CN=C(C=C3N2C4CCCCC4)OC)C(=O)N5CCNCC5,b3a6a,BMCL2011B,6.8239
76392730.0,"InChI=1S/C33H32N4O2/c1-23-11-9-12-24(2)31(23)39-33-29(30-28(17-10-18-35-30)37(33)26-15-7-4-8-16-26)32(38)36-20-19-34-22-27(36)21-25-13-5-3-6-14-25/h3-18,27,34H,19-22H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5CC6=CC=CC=C6,b2a4n,BMCL2011A,6.8182
56661823.0,"InChI=1S/C25H23FN4O2/c1-17-20(26)10-5-11-21(17)32-25-22(24(31)29-15-13-27-14-16-29)19-9-6-12-28-23(19)30(25)18-7-3-2-4-8-18/h2-12,27H,13-16H2,1H3",CC1=C(C=CC=C1F)OC2=C(C3=C(N2C4=CC=CC=C4)N=CC=C3)C(=O)N5CCNCC5,b3a3f,BMCL2011B,6.7696
52946943.0,"InChI=1S/C29H31N3O4/c1-34-20-9-21-35-26-15-8-7-14-25(26)32-24-13-6-5-12-23(24)27(28(33)31-18-16-30-17-19-31)29(32)36-22-10-3-2-4-11-22/h2-8,10-15,30H,9,16-21H2,1H3",COCCCOC1=CC=CC=C1N2C3=CC=CC=C3C(=C2OC4=CC=CC=C4)C(=O)N5CCNCC5,b1i4c,BMCL2010,6.7570
56665263.0,"InChI=1S/C25H23FN4O2/c1-17-20(26)8-5-9-22(17)32-25-23(24(31)29-14-12-27-13-15-29)19-16-28-11-10-21(19)30(25)18-6-3-2-4-7-18/h2-11,16,27H,12-15H2,1H3",CC1=C(C=CC=C1F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CN=C3)C(=O)N5CCNCC5,b3a5c,BMCL2011B,6.7423
56682223.0,"InChI=1S/C29H32N4O2/c1-4-9-22-14-15-31-27-24(22)25(28(34)32-18-16-30-17-19-32)29(33(27)23-12-6-5-7-13-23)35-26-20(2)10-8-11-21(26)3/h5-8,10-15,30H,4,9,16-19H2,1-3H3",CCCC1=C2C(=C(N(C2=NC=C1)C3=CC=CC=C3)OC4=C(C=CC=C4C)C)C(=O)N5CCNCC5,b3a4i,BMCL2011B,6.7305
56678780.0,"InChI=1S/C24H20F2N4O2/c25-16-8-9-18(26)20(15-16)32-24-21(23(31)29-13-11-27-12-14-29)22-19(7-4-10-28-22)30(24)17-5-2-1-3-6-17/h1-10,15,27H,11-14H2",C1CN(CCN1)C(=O)C2=C(N(C3=C2N=CC=C3)C4=CC=CC=C4)OC5=C(C=CC(=C5)F)F,b2a3e,BMCL2011A,6.6946
56672195.0,"InChI=1S/C29H31FN4O/c1-3-8-21-13-14-32-28-26(21)27(29(35)33-17-15-31-16-18-33)25(34(28)23-10-5-4-6-11-23)19-22-9-7-12-24(30)20(22)2/h4-7,9-14,31H,3,8,15-19H2,1-2H3",CCCC1=C2C(=C(N(C2=NC=C1)C3=CC=CC=C3)CC4=C(C(=CC=C4)F)C)C(=O)N5CCNCC5,b3a4j,BMCL2011B,6.6615
56658320.0,"InChI=1S/C25H23FN4O2/c1-17-7-5-11-20(26)22(17)32-25-21(24(31)29-15-13-27-14-16-29)19-10-6-12-28-23(19)30(25)18-8-3-2-4-9-18/h2-12,27H,13-16H2,1H3",CC1=C(C(=CC=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)N=CC=C3)C(=O)N5CCNCC5,b3a3d,BMCL2011B,6.6364
56661690.0,"InChI=1S/C27H27FN4O/c1-18-15-20(28)16-19(2)22(18)17-24-25(27(33)31-13-11-29-12-14-31)26-23(9-6-10-30-26)32(24)21-7-4-3-5-8-21/h3-10,15-16,29H,11-14,17H2,1-2H3",CC1=CC(=CC(=C1CC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5)C)F,b2a3s,BMCL2011A,6.6091
44158681.0,"InChI=1S/C25H24N4O2/c1-18-8-5-6-12-21(18)31-25-22(24(30)28-16-14-26-15-17-28)23-20(11-7-13-27-23)29(25)19-9-3-2-4-10-19/h2-13,26H,14-17H2,1H3",CC1=CC=CC=C1OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3a,BMCL2011A,6.6021
56665120.0,"InChI=1S/C30H34N4O2/c1-4-5-13-23-20-33(19-18-31-23)29(35)26-27-25(16-10-17-32-27)34(24-14-7-6-8-15-24)30(26)36-28-21(2)11-9-12-22(28)3/h6-12,14-17,23,31H,4-5,13,18-20H2,1-3H3",CCCCC1CN(CCN1)C(=O)C2=C(N(C3=C2N=CC=C3)C4=CC=CC=C4)OC5=C(C=CC=C5C)C,b2a4k,BMCL2011A,6.5452
76391252.0,"InChI=1S/C28H30N4O3/c1-19-9-7-10-20(2)26(19)35-28-24(27(33)31-16-15-29-21(17-31)18-34-3)25-23(13-8-14-30-25)32(28)22-11-5-4-6-12-22/h4-14,21,29H,15-18H2,1-3H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNC(C5)COC,b2a4g,BMCL2011A,6.5376
56672055.0,"InChI=1S/C24H20F2N4O2/c25-17-8-4-10-19(21(17)26)32-24-20(23(31)29-14-12-27-13-15-29)22-18(9-5-11-28-22)30(24)16-6-2-1-3-7-16/h1-11,27H,12-15H2",C1CN(CCN1)C(=O)C2=C(N(C3=C2N=CC=C3)C4=CC=CC=C4)OC5=C(C(=CC=C5)F)F,b2a3d,BMCL2011A,6.5086
56678526.0,"InChI=1S/C25H22ClFN4O2/c1-16-7-8-17(27)15-20(16)33-25-21(24(32)30-13-11-28-12-14-30)19-9-10-29-23(26)22(19)31(25)18-5-3-2-4-6-18/h2-10,15,28H,11-14H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C(=NC=C3)Cl)C(=O)N5CCNCC5,b2a7b,BMCL2011A,6.4949
76391248.0,"InChI=1S/C28H35FN4O2/c1-18-17-32(13-12-30-18)28(34)27-22-16-31-26(35-3)15-24(22)33(21-9-5-4-6-10-21)25(27)14-20-8-7-11-23(29)19(20)2/h7-8,11,15-16,18,21,30H,4-6,9-10,12-14,17H2,1-3H3",CC1CN(CCN1)C(=O)C2=C(N(C3=CC(=NC=C32)OC)C4CCCCC4)CC5=C(C(=CC=C5)F)C,b3a7c,BMCL2011B,6.4949
56668561.0,"InChI=1S/C25H22F2N4O2/c1-16-14-18(26)19(27)15-21(16)33-25-22(24(32)30-12-10-28-11-13-30)23-20(8-5-9-29-23)31(25)17-6-3-2-4-7-17/h2-9,14-15,28H,10-13H2,1H3",CC1=CC(=C(C=C1OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5)F)F,b2a3jr,BMCL2011A,6.4921
52944495.0,"InChI=1S/C27H27FN4O2/c1-18-19(6-5-8-22(18)28)16-24-26(27(33)31-14-12-29-13-15-31)21-7-3-4-9-23(21)32(24)20-10-11-25(34-2)30-17-20/h3-11,17,29H,12-16H2,1-2H3",CC1=C(C=CC=C1F)CC2=C(C3=CC=CC=C3N2C4=CN=C(C=C4)OC)C(=O)N5CCNCC5,b1i4i,BMCL2010,6.4437
76393443.0,"InChI=1S/C27H34N4O3/c1-18-8-6-9-19(2)25(18)34-27-23(26(33)30-15-14-28-20(16-30)17-32)24-22(12-7-13-29-24)31(27)21-10-4-3-5-11-21/h6-9,12-13,20-21,28,32H,3-5,10-11,14-17H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4CCCCC4)C=CC=N3)C(=O)N5CCNC(C5)CO,b2a4d,BMCL2011A,6.4089
56661822.0,"InChI=1S/C25H23FN4O2/c1-17-9-10-18(26)16-21(17)32-25-22(24(31)29-14-12-27-13-15-29)20-8-5-11-28-23(20)30(25)19-6-3-2-4-7-19/h2-11,16,27H,12-15H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)N=CC=C3)C(=O)N5CCNCC5,b3a3e,BMCL2011B,6.4023
